'24 Rank,'24 YouTubers,'24 Subs,'24 Avg. Views,'24 Avg. Likes,'24 Avg. Comments,'24 Category,'24 Country
1,T-Series,258400000,135200,5600,223,Music & Dance,India
2,MrBeast,236100000,104000000,4000000,74000,Entertainment,United States
3,Cocomelon - Nursery Rhymes,171400000,5100000,57100,0,Educational,United States
4,SET India,167100000,27900,996,7,Film & Animation,India
5,✿ Kids Diana Show,118500000,5100000,14300,0,Educational,United States
6,Like Nastya,112600000,3400000,45900,0,Educational,Russia
7,PewDiePie,111600000,1700000,109200,3100,Entertainment,Japan
8,Vlad and Niki,109600000,5800000,42700,0,Educational,United States
9,Zee Music Company,104500000,38000,1600,26,Music & Dance,India
10,WWE,99000000,182900,6800,227,Sports,United States
11,Goldmines,94000000,34600,518,13,Film & Animation,India
12,BLACKPINK,93200000,1900000,439200,16700,Music & Dance,South Korea
13,Sony SAB,89100000,30600,789,10,Film & Animation,India
14,5-Minute Crafts,80600000,137600,632,33,DIY & Tutorials,United States
15,BANGTANTV,77400000,688200,129100,3000,Music & Dance,South Korea
16,Zee TV,77000000,8200,295,1,Film & Animation,India
17,HYBE LABELS,73900000,118100,21600,215,Music & Dance,South Korea
18,Justin Bieber,72600000,596000,211200,7400,Music & Dance,Canada
19,Pinkfong Baby Shark - Kids' Songs & Stories,72500000,637600,713,0,Educational,United States
20,Colors TV,70200000,17600,632,3,Film & Animation,India
21,ChuChu TV Nursery Rhymes & Kids Songs,69800000,762200,15500,0,Educational,India
22,Shemaroo Filmi Gaane,67400000,29300,298,15,Music & Dance,India
23,Canal KondZilla,67000000,23000,1000,13,Music & Dance,Brazil
24,T-Series Bhakti Sagar,65800000,20100,1200,26,Music & Dance,India
25,Tips Official,63500000,41700,800,20,Music & Dance,India
26,El Reino Infantil,62400000,720800,3000,0,Educational,Argentina
27,Aaj Tak,61900000,13900,399,6,News & Politics,India
28,Movieclips,60700000,13800,212,11,Film & Animation,United States
29,Wave Music,60500000,32800,746,59,Music & Dance,India
30,Dude Perfect,60000000,4800000,134500,893,Sports,United States
31,Sony Music India,59300000,16100,607,21,Music & Dance,India
32,Infobells - Hindi,59100000,1300000,3800,0,Educational,India
33,EminemMusic,58900000,1200000,84000,7400,Music & Dance,United States
34,YRF,58300000,62700,3400,35,Music & Dance,India
35,Marshmello,56900000,88200,7100,137,Music & Dance,United States
36,Taylor Swift,56600000,2300000,188500,6000,Music & Dance,United States
37,LooLoo Kids - Nursery Rhymes and Children's Songs,56100000,237400,773,0,Educational,United States
38,BillionSurpriseToys  - Nursery Rhymes & Cartoons,55200000,82800,0,0,Educational,United States
39,Ed Sheeran,54300000,278500,15500,364,Music & Dance,United Kindom
40,Ariana Grande,53500000,310700,40400,1500,Music & Dance,United States
41,Shemaroo,51400000,9700,84,5,Film & Animation,India
42,Toys and Colors,51100000,4800000,2800,0,Educational,United States
43,A4,50500000,7900000,337900,27000,Entertainment,Belarus
44,ARY Digital HD,50500000,21900,722,4,Film & Animation,Pakistan
45,HAR PAL GEO,50100000,6700,61,2,Film & Animation,Pakistan
46,Get Movies,49400000,56600,219,0,Film & Animation,Russia
47,JuegaGerman,49200000,1500000,96500,4800,Gaming,Chile
48,Billie Eilish,49100000,363100,30200,418,Music & Dance,United States
49,SonyMusicIndiaVEVO,49000000,9400,134,9,Music & Dance,India
50,Mikecrack,47400000,785600,73500,1700,Film & Animation,Spain
