'23 Rank,'23 YouTubers,'23 Subs,'23 Uploads,'23 Video Views,'23 Category,'23 Country,'23 Pop.
1.0,T-Series,245000000,20082,228000000000.0,Music & Dance,India,1366417754.0
2.0,MrBeast,166000000,741,28368841870.0,Entertainment,United States,328239523.0
3.0,Cocomelon - Nursery Rhymes,162000000,966,164000000000.0,Educational,United States,328239523.0
4.0,SET India,159000000,116536,148000000000.0,Film & Animation,India,1366417754.0
5.0,    Kids Diana Show,112000000,1111,93247040539.0,Educational,United States,328239523.0
6.0,PewDiePie,111000000,4716,29058044447.0,Entertainment,Japan,126226568.0
7.0,Like Nastya,106000000,493,90479060027.0,Educational,Russia,144373535.0
8.0,Vlad and Niki,98900000,574,77180169894.0,Educational,United States,328239523.0
9.0,Zee Music Company,96700000,8548,57856289381.0,Music & Dance,India,1366417754.0
10.0,WWE,96000000,70127,77428473662.0,Sports,United States,328239523.0
11.0,BLACKPINK,89800000,543,32144597566.0,Music & Dance,South Korea,51709098.0
12.0,Goldmines,86900000,4817,24118230580.0,Film & Animation,India,1366417754.0
13.0,Sony SAB,83000000,71270,101000000000.0,Film & Animation,India,1366417754.0
14.0,5-Minute Crafts,80100000,5481,26236790209.0,DIY & Tutorials,United States,66834405.0
15.0,BANGTANTV,75600000,2281,20826993957.0,Music & Dance,South Korea,51709098.0
16.0,Justin Bieber,71600000,249,30608119724.0,Music & Dance,Canada,36991981.0
17.0,HYBE LABELS,71300000,1337,28634566938.0,Music & Dance,South Korea,51709098.0
18.0,Zee TV,70500000,129204,73139054467.0,Film & Animation,India,1366417754.0
19.0,Pinkfong Baby Shark - Kids' Songs & Stories,68200000,2865,38843229963.0,Educational,United States,328239523.0
20.0,Canal KondZilla,66500000,2572,36775585925.0,Music & Dance,Brazil,212559417.0
21.0,ChuChu TV Nursery Rhymes & Kids Songs,65900000,633,45757850229.0,Educational,India,1366417754.0
22.0,Shemaroo Filmi Gaane,65600000,8502,28648024439.0,Music & Dance,India,1366417754.0
23.0,Colors TV,64600000,112915,61510906457.0,Film & Animation,India,1366417754.0
24.0,T-Series Bhakti Sagar,61000000,25981,29533230328.0,Music & Dance,India,1366417754.0
25.0,Dude Perfect,59500000,389,16241549158.0,Sports,United States,328239523.0
26.0,Movieclips,59500000,39113,59316472754.0,Film & Animation,United States,328239523.0
27.0,Tips Official,59300000,4741,33431802698.0,Music & Dance,India,1366417754.0
28.0,El Reino Infantil,58400000,1510,57271630846.0,Educational,Argentina,44938712.0
29.0,Wave Music,58000000,19487,40602020243.0,Music & Dance,India,1366417754.0
30.0,Aaj Tak,57600000,283775,25307753534.0,News & Politics,India,1366417754.0
31.0,Sony Music India,57200000,3882,28837144516.0,Music & Dance,India,1366417754.0
32.0,EminemMusic,56900000,156,27073872856.0,Music & Dance,United States,328239523.0
33.0,Marshmello,56400000,436,14696003229.0,Music & Dance,United States,328239523.0
34.0,YRF,54600000,3707,35302243691.0,Music & Dance,India,1366417754.0
35.0,LooLoo Kids - Nursery Rhymes and Children's Songs,54000000,694,32312431239.0,Educational,United States,328239523.0
36.0,Ed Sheeran,53500000,383,30367676736.0,Music & Dance,United Kingdom,66834405.0
37.0,Infobells - Hindi,53300000,577,30516172739.0,Educational,India,1366417754.0
38.0,Taylor Swift,52900000,216,29884657286.0,Music & Dance,United States,328239523.0
39.0,Ariana Grande,52700000,147,24004842608.0,Music & Dance,United States,328239523.0
40.0,BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,847,9877365274.0,Educational,United States,328239523.0
41.0,JuegaGerman,48100000,2052,14631710289.0,Gaming,Chile,18952038.0
42.0,Billie Eilish,47900000,65,13626331061.0,Music & Dance,United States,328239523.0
43.0,Get Movies,47500000,3322,30788679536.0,Film & Animation,Russia,144373535.0
44.0,Shemaroo,47400000,11451,22519705183.0,Film & Animation,India,1366417754.0
45.0,Badabun,46800000,18256,19398045702.0,Entertainment,Mexico,126014024.0
46.0,SonyMusicIndiaVEVO,46600000,3444,27286058807.0,Music & Dance,India,328239523.0
47.0,A4,46300000,776,22936630813.0,Entertainment,Belarus,11333483.0
48.0,Bad Bunny,46100000,143,30686342319.0,Music & Dance,Puerto Rico,3260314.0
49.0,Fernanfloo,46100000,543,10323391593.0,Gaming,El Salvador,6453553.0
50.0,Voot Kids,45500000,4660,21388725229.0,Entertainment,India,1366417754.0
