'23 Rank,'23 YouTubers,'23 Subs,'23 Uploads,'23 Video Views,'23 Category,'23 Country,'23 Pop.,'24 Rank,'24 YouTubers,'24 Subs,'24 Avg. Views,'24 Avg. Likes,'24 Avg. Comments,'24 Category,'24 Country
1,T-Series,245000000,20082,228000000000,Music & Dance,India,1366417754,1,T-Series,258400000,135200,5600,223,Music & Dance,India
2,MrBeast,166000000,741,28368841870,Entertainment,United States,328239523,2,MrBeast,236100000,104000000,4000000,74000,Entertainment,United States
3,Cocomelon - Nursery Rhymes,162000000,966,164000000000,Educational,United States,328239523,3,Cocomelon - Nursery Rhymes,171400000,5100000,57100,0,Educational,United States
4,SET India,159000000,116536,148000000000,Film & Animation,India,1366417754,4,SET India,167100000,27900,996,7,Film & Animation,India
5,    Kids Diana Show,112000000,1111,93247040539,Educational,United States,328239523,5,✿ Kids Diana Show,118500000,5100000,14300,0,Educational,United States
6,PewDiePie,111000000,4716,29058044447,Entertainment,Japan,126226568,6,Like Nastya,112600000,3400000,45900,0,Educational,Russia
7,Like Nastya,106000000,493,90479060027,Educational,Russia,144373535,7,PewDiePie,111600000,1700000,109200,3100,Entertainment,Japan
8,Vlad and Niki,98900000,574,77180169894,Educational,United States,328239523,8,Vlad and Niki,109600000,5800000,42700,0,Educational,United States
9,Zee Music Company,96700000,8548,57856289381,Music & Dance,India,1366417754,9,Zee Music Company,104500000,38000,1600,26,Music & Dance,India
10,WWE,96000000,70127,77428473662,Sports,United States,328239523,10,WWE,99000000,182900,6800,227,Sports,United States
11,BLACKPINK,89800000,543,32144597566,Music & Dance,South Korea,51709098,11,Goldmines,94000000,34600,518,13,Film & Animation,India
12,Goldmines,86900000,4817,24118230580,Film & Animation,India,1366417754,12,BLACKPINK,93200000,1900000,439200,16700,Music & Dance,South Korea
13,Sony SAB,83000000,71270,101000000000,Film & Animation,India,1366417754,13,Sony SAB,89100000,30600,789,10,Film & Animation,India
14,5-Minute Crafts,80100000,5481,26236790209,DIY & Tutorials,United States,66834405,14,5-Minute Crafts,80600000,137600,632,33,DIY & Tutorials,United States
15,BANGTANTV,75600000,2281,20826993957,Music & Dance,South Korea,51709098,15,BANGTANTV,77400000,688200,129100,3000,Music & Dance,South Korea
16,Justin Bieber,71600000,249,30608119724,Music & Dance,Canada,36991981,16,Zee TV,77000000,8200,295,1,Film & Animation,India
17,HYBE LABELS,71300000,1337,28634566938,Music & Dance,South Korea,51709098,17,HYBE LABELS,73900000,118100,21600,215,Music & Dance,South Korea
18,Zee TV,70500000,129204,73139054467,Film & Animation,India,1366417754,18,Justin Bieber,72600000,596000,211200,7400,Music & Dance,Canada
